K,Rem,frictionFactor
0.6,2575.916168203323,5.013695232026239
0.6,2693.588368650845,5.579466536630767
0.6,2355.735231247666,6.122948247371853
0.6,1989.487397504233,8.215496194733518
0.6,2569.2813703383176,5.397761158950871
0.6,2787.9220324838725,4.679275625547561
0.6,2805.3010441952224,5.296495803830108
0.6,2665.4233729121424,6.104884813381478
0.6,2036.901980533399,7.080459701676272
0.6,6101.1029406942025,3.94253193989329
0.6,2089.3391756568985,7.09016254859678
0.6,2976.0967033287707,7.362817053048424
0.6,5282.811687094938,6.167030896058927
0.6,1729.6884949704074,7.616566834967427
0.6,2778.48115366641,5.560575802126763
0.6,2346.1359283879965,6.144076453139795
0.6,1976.449466756248,7.285003995403975
0.6,1973.2015435302849,7.543448082928052
0.6,2777.525161804388,4.806907904067447
0.6,1605.5645608906975,8.75232440223144
0.6,1939.8945204398492,7.358229887048644
0.6,2379.64340699628,5.820427035537229
0.6,1753.3080699202296,6.725730346153462
0.6,5989.021427629092,6.091509152236147
0.6,2648.49334675358,5.019805830509807
0.6,2274.8947582199594,6.496894847224113
0.6,6861.319135644912,5.952822359740734
0.6,2146.9928684317206,5.77107347963496
0.6,2365.2754377817755,6.070116011866429
0.6,1927.4657971797533,7.374212300743737
0.6,1759.5226654952685,6.3162142770168535
0.6,1464.226382448728,7.9071642160907185
0.6,8156.835568847634,4.7291957700905805
0.6,5450.091307617282,4.9508261692121645
0.6,1894.062508139151,8.000582990875328
0.6,1451.0013050919629,8.331251095529423
0.6,2760.9172219023226,5.383150056174566
0.6,2788.410154925726,5.520361492628767
0.6,1547.8464393672075,7.184972535201426
0.6,2226.258335491863,6.039547498872079
0.6,1781.7291697927214,6.958936308836417
0.6,2784.654478048474,5.187996351332741
0.6,1698.9104969964014,7.610323432659803
0.6,1716.022000873891,6.807499076971808
0.6,2206.1974698974755,7.56317242820143
0.6,2887.631925927093,5.440609671243521
0.6,2708.823230901226,4.957932668409469
0.6,1560.4012434498125,7.233242266577363
0.6,2652.012561807362,5.67709025376337
0.6,2003.741961182224,7.232329373516374
0.6,2756.8517317239566,5.58520004751009
0.6,7486.641444417925,3.6645474139795433
0.6,2692.8072075429905,4.893467597194042
0.6,1785.7830355298772,6.354343266337369
0.6,2291.289830284172,7.44506582594281
0.6,1710.666656790362,6.414362954382042
0.6,2353.5273405770763,6.127784126648209
0.6,1967.6483781487227,7.8921826026603155
0.6,1512.5937938877296,7.76212324306369
0.6,6228.341661773163,5.5683641572219145
0.6,1822.7742478465827,6.523250772262844
0.6,1826.6977157420051,7.384387137652308
0.6,2824.3508741998035,5.260038432434714
0.6,2327.8654114469496,6.184898799741053
0.6,7089.875117882727,5.923238093563147
1.2,2239.8152723898343,2.662100437320709
1.2,6938.638623291169,2.4907258500755574
1.2,7118.643717362271,2.571003832670058
1.2,2076.151263301143,3.0585501148326357
1.2,6045.30157919033,2.68070679044045
1.2,1906.1792018022936,2.707382758166132
1.2,6259.963131100028,2.542206117121455
1.2,2030.314856797613,2.78891830581102
1.2,2388.595010064352,2.7598663869539224
1.2,6417.479126676831,3.035796549344896
1.2,2150.211569322168,3.025641425582968
1.2,6430.040029888245,3.032448571792404
1.2,2362.8985483620377,2.820187424432105
1.2,1851.8971741005896,2.858721607532482
1.2,2175.183334775736,2.9945939133978734
1.2,2166.870030625028,2.7108632808312327
1.2,1980.236900104226,2.9116511998902013
1.2,7177.696918396841,2.374769694345624
1.2,6346.3557346480575,2.6103088535662047
1.2,2396.8836573505696,2.797843505991719
1.2,2282.352534994153,2.8984953948181955
1.2,7122.922342667794,2.384951610355341
1.2,2274.6294087068445,2.921163126130676
1.2,2366.016215304805,2.9716935851340094
1.2,2417.260313202483,2.7732045115649764
1.2,2248.6120122231587,3.04871238503594
1.2,6834.773219983541,2.603928424777174
1.2,2441.0983474267623,2.929335859594725
1.2,2534.007831709109,2.729584969044843
1.2,6927.226439894174,2.3644316166310246
1.2,2412.22718514539,2.788165217522401
1.2,2103.329885507578,3.062621896346028
1.2,2074.7594167283687,3.076980021317908
1.2,7032.877659209872,2.491072552332498
1.2,2427.7532555745684,2.669322806303221
1.2,2417.733936693901,2.7847216605835063
1.2,2105.398221036249,2.859397142703453
1.2,2355.560819607613,2.4919528712369505
1.2,2221.423334076825,2.7653141495191
1.2,7081.185356599815,2.336540807140127
1.2,6526.185393206512,2.6183691369587403
1.2,6439.624990086791,2.5649081423138225
1.2,2307.5206601268505,2.6746147066719157
1.2,1957.9076257949653,2.6615890470769683
1.2,1814.0767667205544,2.95489663884106
1.2,2370.751168186897,2.830102018619061
1.2,2056.349696393485,2.7981625808678827
1.2,1804.877257277505,3.1562971693776363
1.2,1731.387936402561,2.9810448962445446
1.2,2515.263005251937,2.4981020609461857
1.2,2316.934352508014,2.600566455798416
1.2,2428.8614618099477,2.5925520913295785
1.2,2440.231248262341,2.407113133730753
1.2,2211.448772033604,2.95721035626563
1.2,2373.765503594533,2.482067882358044
1.2,2197.1405403342737,2.79036916342542
1.2,2183.453305440556,2.97825713692969
1.2,7109.998197664068,2.5734491388945804
1.2,6514.475901321593,2.475246871794049
1.2,2371.145522624875,2.3700444306410247
1.2,6904.49301136147,2.4319657592742363
1.2,6821.679754679325,2.5856214536908224
1.2,2430.931962279305,2.937193213839953
1.2,6961.880069244367,2.791826132485438
1.2,1902.7920778530683,2.674264471904071
0.3,2679.355890230724,6.157785262041244
0.3,2679.355890230724,10.57049659579153
0.3,2021.048228994758,14.337318377391997
0.3,2609.812931733048,7.716495217513694
0.3,2609.812931733048,9.029169613003264
0.3,2026.038091846313,16.477271003233852
0.3,2907.1854718320824,9.452824840302256
0.3,2907.1854718320824,10.242679761313418
0.3,2335.5808665451887,13.95726160188424
0.3,2849.3454715235757,7.072591276412814
0.3,2849.3454715235757,11.798913229504931
0.3,2127.560534203579,15.331800828199684
0.3,8534.893084703353,6.23565822601408
0.3,8534.893084703353,7.959928869715935
0.3,6706.130819754945,13.244032415452509
0.3,2646.158019786973,7.567163450561622
0.3,2646.158019786973,9.053031143212412
0.3,2057.6894519501006,12.907374465512513
0.3,1723.8068000231592,11.622130309056027
0.3,1552.6135344348363,13.322106189912882
0.3,1358.9262364329916,14.039670246981402
0.3,1242.7893062594128,16.37549251933037
0.3,1153.262391268854,15.429097147771223
0.3,1114.9685435384808,17.39530936042777
0.3,1084.6490978257011,20.95650540796693
0.3,2620.5312333993998,6.823060771011804
0.3,2620.5312333993998,7.705298541472749
0.3,2076.389541214832,12.101545301338064
0.3,1652.2634885205916,13.772524128307806
0.3,1431.6239450706216,14.391260968809108
0.3,1265.7825280326135,15.130465874535815
0.3,1129.970986370001,16.56319316750535
0.3,1037.1493138617234,16.501358782696578
0.3,967.9243992948158,18.96088799193413
0.3,923.9327870776058,22.1695891082676
0.3,2926.654007134639,8.52230581755708
0.3,2926.654007134639,10.59324883838594
0.3,2273.921652400952,12.388426973220096
0.3,1934.203775931196,15.19513869800349
0.3,1689.1335522366442,15.776556547062642
0.3,1535.8901595073405,16.850909655981205
0.3,1395.9029086156384,17.18580418161448
0.3,1329.175249071999,19.24840048606732
0.3,1231.6241554987507,18.07336136052119
0.3,1216.3439444446024,22.458213219567867
0.3,2795.1837300130583,8.351292417300384
0.3,2795.1837300130583,11.358130709765538
0.3,2209.575220245686,12.42834847502722
0.3,1880.038410086596,14.712882816645026
0.3,1649.943748918785,15.020924119823064
0.3,1496.0778779523005,16.473663955713814
0.3,1388.2632699316102,17.74466848797333
0.3,1280.4639775801509,18.792662658982003
0.3,1238.8947491754695,17.065004643293914
0.3,1224.525636992024,21.66787858280088
0.3,8567.520947853933,5.827493254437856
0.3,8567.520947853933,8.309883489163697
0.3,6824.834908702364,10.259309693241862
0.3,5806.487354441296,12.506105765482392
0.3,5158.168392005201,12.516350549984043
0.3,4754.447898203854,13.790084746559332
0.3,4447.922353991863,14.418713256961182
0.3,4102.626474373954,17.31906537805521
0.3,3903.5724280422346,14.44689380040975
0.3,3911.697828980143,18.59036090650734
0.324,2669.269697285865,6.677778873861518
0.324,2669.269697285865,10.381713220156684
0.324,2014.378659789718,16.42330756144998
0.324,2630.9683482019923,6.732234717154087
0.324,2630.9683482019923,10.55558312596166
0.324,1955.9478705303063,16.845407509903236
0.324,2843.026835705093,9.643212241319844
0.324,2843.026835705093,10.11758297973957
0.324,2329.5070107058004,16.158021933935913
0.324,2713.5539404708948,9.896196307456696
0.324,2713.5539404708948,10.375528064330323
0.324,2225.302189032984,16.560873558144287
0.324,8174.960747340116,7.776612488016013
0.324,8174.960747340116,8.40054372757603
0.324,6610.946181119483,15.1496130890846
0.324,2642.8374786976465,8.482263162384125
0.324,2642.8374786976465,9.0450142802212
0.324,2060.810513803714,11.241091274973112
0.324,1714.1155958829622,13.043661399101188
0.324,1479.703125911611,15.53228302011518
0.324,1310.8468244726678,13.894315751247811
0.324,1220.0249757253775,16.812112870148773
0.324,1114.913800986037,16.114903828073643
0.324,1112.2123325510383,16.3667369122405
0.324,1064.136345850378,23.733726461066084
0.324,2605.328326366516,8.525882276593894
0.324,2605.328326366516,9.239432301863864
0.324,2002.460652329583,11.526864683382469
0.324,1637.4750409463893,13.511260682685794
0.324,1387.285623285148,16.256096814417887
0.324,1203.284407514296,14.73125567355926
0.324,1096.0729298978458,18.09266027904077
0.324,978.585421826063,17.424554720358625
0.324,962.109004330838,17.640433161801543
0.324,913.0325930077464,25.54685302063663
0.324,2966.18653631247,6.705524447875523
0.324,2966.18653631247,11.787774520466018
0.324,2237.175485073991,12.857833396271452
0.324,1889.901854905136,13.841235392014246
0.324,1710.933226087184,15.660819493287711
0.324,1523.9124221289287,15.567176591934029
0.324,1443.4839853162632,16.544184623142662
0.324,1349.960141890661,14.807279321842977
0.324,1282.2314650250896,20.48479559325452
0.324,1201.3391178003196,18.98890993765056
0.324,2831.233241939207,6.881174641689929
0.324,2831.233241939207,12.08744979185799
0.324,2137.277047288529,13.178776571075106
0.324,1807.038706711176,14.190063460522934
0.324,1636.4940222835044,16.059757082840438
0.324,1458.1100272851922,15.967910695085871
0.324,1380.9951006481606,16.92562202971017
0.324,1295.1068176961692,14.970993699828616
0.324,1244.9287892028929,20.48479559325452
0.324,1179.4660825229469,18.98890993765056
0.324,8499.767321291178,5.435695421451452
0.324,8499.767321291178,9.721122184523832
0.324,6597.370190813257,10.378222217535589
0.324,5643.1248147468605,12.413315858279091
0.324,5093.188765158243,13.737804549008263
0.324,4624.397944247816,13.628111120100714
0.324,4407.363437215391,14.402500682835363
0.324,4168.476784442873,12.57496910000482
0.324,3988.038502584994,18.024437214804767
0.324,3741.0589212558993,17.397758176647073
0.349,2652.667710516305,8.330390059625525
0.349,2652.667710516305,8.660789624913942
0.349,2132.14966140393,14.129519633320102
0.349,2617.308870165792,8.394050438941735
0.349,2617.308870165792,8.797209959683535
0.349,2075.9844110661497,14.455327553441114
0.349,2978.3550200832024,7.356638926011388
0.349,2978.3550200832024,9.340820430467318
0.349,2372.5505293529686,14.27926334907444
0.349,2842.649636687468,7.549793198704398
0.349,2842.649636687468,9.579815506893686
0.349,2266.1837637931567,14.634705443218332
0.349,8663.728442436863,5.585912349754751
0.349,8663.728442436863,6.982382239140132
0.349,6884.3659781742845,13.47731234128295
0.349,2779.56891468658,5.711362935144818
0.349,2779.56891468658,8.583343288940974
0.349,2142.5401254140907,11.042118395566993
0.349,1774.0565210376894,11.325893458530691
0.349,1568.941161662398,13.334494312130978
0.349,1403.5656163114145,11.68742235202846
0.349,1322.440739781347,13.985841158096669
0.349,1213.1686153033688,14.815388151001365
0.349,1161.4191317833918,13.609502462404604
0.349,1136.1736116295594,18.931841225927347
0.349,2742.532014901624,5.75456577668168
0.349,2742.532014901624,8.712109966979181
0.349,2086.692212884614,11.307667759128025
0.349,1700.4496175939703,11.707692696464212
0.349,1478.0053954147163,13.927382407636443
0.349,1297.7101740522064,12.3431657487593
0.349,1199.1344226329024,14.94754008973073
0.349,1077.528843751542,16.032829197799828
0.349,1009.4275243713138,14.702054481733436
0.349,979.9644269932302,20.42161754523334
0.349,2997.9196821371365,7.188218398118421
0.349,2997.9196821371365,10.44376990400162
0.349,2333.711458430295,10.658224705460636
0.349,2009.302971725283,12.13567641113649
0.349,1748.6231747711424,14.33881212595722
0.349,1573.7640882211713,13.797907043520368
0.349,1494.9246360429868,14.80196642663931
0.349,1412.2126288531283,14.528451522599363
0.349,1346.4649272162758,16.172256523880296
0.349,1291.3288101853402,20.15646226393662
0.349,2861.317933897752,7.376961451661691
0.349,2861.317933897752,10.710739713200262
0.349,2229.145782153237,10.92381153636389
0.349,1921.081439652967,12.440841473883124
0.349,1672.410252212349,14.702894936785098
0.349,1505.6887945265603,14.151886676340462
0.349,1430.263554374358,15.185838356153155
0.349,1350.962029914139,14.7577599900695
0.349,1301.12830197051,16.244646385347195
0.349,1262.084001101477,20.15646226393662
0.349,8658.14497468397,5.672997112172235
0.349,8658.14497468397,8.260163397572278
0.349,6798.528247780401,9.42493961775456
0.349,5850.7092166674975,10.62871225784068
0.349,5236.9350422042135,12.5494265906891
0.349,4793.813210558466,11.618880523162524
0.349,4626.395904629824,12.574833720768432
0.349,4368.126637168804,12.528897009463265
0.349,4169.80981139761,13.818651528908047
0.349,4025.6768365234543,16.288694120033714
0.373,2747.352168898268,6.053769174861327
0.373,2747.352168898268,9.661861576240309
0.373,2038.124580678786,12.881279910819703
0.373,2710.9438112463536,6.099309237723783
0.373,2710.9438112463536,9.804294485381762
0.373,1985.8948630846544,13.172864131781203
0.373,2968.7774467057598,6.759693320428847
0.373,2968.7774467057598,10.599313136462712
0.373,2300.509573098214,13.43151854476052
0.373,2833.4900376268806,6.937212662533345
0.373,2833.4900376268806,10.870561866034082
0.373,2197.359835499721,13.76582623962397
0.373,8503.829269412488,5.428115541413486
0.373,8503.829269412488,8.754838675448852
0.373,6659.844453239944,12.947882076497237
0.373,2736.0482077816305,6.349464691583703
0.373,2736.0482077816305,8.95324693809619
0.373,2108.785782328771,10.85598683617266
0.373,1773.095963856634,9.835465419402457
0.373,1639.4706541266771,12.406591830543103
0.373,1450.837409571024,11.68378506284408
0.373,1352.305576660821,12.09856267866722
0.373,1235.7281069918126,14.765987074960725
0.373,1173.8140029730414,13.99025549745658
0.373,1167.908208368498,17.023526708148346
0.373,2698.452662827148,6.399016266907567
0.373,2698.452662827148,9.090488913695443
0.373,2052.653816326167,11.115703681453336
0.373,1699.913527281814,10.161281264771752
0.373,1546.050259443071,12.944955904051678
0.373,1343.8455701221571,12.32170696587736
0.373,1229.2801000786142,12.910960769960942
0.373,1100.4363607126152,15.95340760024552
0.373,1023.3253468957982,15.119737113113088
0.373,1009.1793998874014,18.371774918263583
0.373,2970.1950839977344,7.852137121699574
0.373,2970.1950839977344,9.467763899234102
0.373,2344.2748471167347,10.731190404429924
0.373,1979.6658134642691,11.290431739270373
0.373,1764.0032989793974,14.467910305205004
0.373,1577.2333249108983,12.286746333758618
0.373,1536.86798958601,13.143082387050962
0.373,1453.085640636487,13.86445529172426
0.373,1362.4992007911123,15.247204992428095
0.373,1312.2002493474731,19.14858578927648
0.373,2834.866918548566,8.058287984726196
0.373,2834.866918548566,9.710002161743953
0.373,2239.1770411148723,10.998441817649804
0.373,1892.704306169386,11.574133397704909
0.373,1687.0750231168786,14.83495423014388
0.373,1508.9629653726097,12.6015738439975
0.373,1470.4125443922298,13.483428197604791
0.373,1390.086396213144,14.104729869535904
0.373,1314.5936541598069,15.34990851471671
0.373,1279.566156746994,19.14858578927648
0.373,8552.782322559915,6.223989322334461
0.373,8552.782322559915,8.042574471049724
0.373,6716.366346667566,8.7034149691563
0.373,5819.708694451395,10.100508659665888
0.373,5207.924594009592,12.794237852797211
0.373,4725.349834772631,10.790000185794645
0.373,4612.552664279991,11.622459683225989
0.373,4413.0751681232505,12.405016951699409
0.373,4153.624531838451,13.244547657946883
0.373,4053.542819712356,16.75904327840293
0.398,2785.964355925049,6.328856386045938
0.398,2785.964355925049,7.726432156481957
0.398,2198.834422894377,10.937790436629918
0.398,2749.0519318473443,6.367455846871505
0.398,2749.0519318473443,7.830749482403839
0.398,2142.3941775119238,11.179855174871284
0.398,3050.4501131977117,5.334805733664514
0.398,3050.4501131977117,8.561645088153242
0.398,2392.765553343488,11.445212118885026
0.398,2911.405258332309,5.474962410848732
0.398,2911.405258332309,8.781392423414443
0.398,2285.282551742236,11.730946470959442
0.398,8800.516089873861,3.804817503126152
0.398,8800.516089873861,7.119911072370382
0.398,6906.890007723249,11.215881118568872
0.398,2697.2581839142185,7.195037336448859
0.398,2697.2581839142185,7.145655492363056
0.398,2231.97858064843,10.03372864669069
0.398,1840.5200646620665,11.307224522948935
0.398,1609.6708197542073,9.55104656916007
0.398,1565.0232842695134,12.14822684729812
0.398,1396.3705042134911,11.168471956100834
0.398,1339.314012016882,11.320691387591488
0.398,1281.7079968916971,13.164970923917704
0.398,1227.812758294304,14.374790750672515
0.398,2661.4796520561254,7.249214993823901
0.398,2661.4796520561254,7.249558542804981
0.398,2175.54030020406,10.26338680622562
0.398,1767.871185575916,11.660173515795211
0.398,1523.129523327223,9.939522119063335
0.398,1456.3199623821044,12.773076366212251
0.398,1276.031947002764,11.865920238367654
0.398,1201.8400837079491,12.157408561427363
0.398,1129.017858492265,14.24044274739432
0.398,1065.0490878836365,15.528610689570865
0.398,3024.475852533203,6.978399155141064
0.398,3024.475852533203,7.707437246438747
0.398,2443.270044047894,10.647405378650046
0.398,2056.25288437396,10.347274746302556
0.398,1932.0589215198945,10.532444061959575
0.398,1725.7610301532798,12.620593394853746
0.398,1589.1370321050665,10.882255098773816
0.398,1554.4188064244463,15.177126431431493
0.398,1399.3470650897495,11.643105440146298
0.398,1427.0505870848451,15.72792923525285
0.398,2886.654677515213,7.161652716679372
0.398,2886.654677515213,7.904874863305507
0.398,2333.651661974942,10.91228917524704
0.398,1965.8477497872195,10.606737720482176
0.398,1847.6615751876368,10.798934070432717
0.398,1650.9078449558872,12.942854377791456
0.398,1520.479155244627,11.162839021183483
0.398,1487.100398089807,15.51254967901083
0.398,1343.7587333907345,11.780760109153762
0.398,1384.471180645458,15.775960823935574
0.398,8706.654894532658,5.570975441936747
0.398,8706.654894532658,6.419368576624815
0.398,7139.526317092785,8.918781461775325
0.398,6100.586268679476,9.138916475511648
0.398,5769.054357184203,8.468201120623279
0.398,5289.30819928223,11.021079179683236
0.398,4839.740920076938,9.210330899766886
0.398,4801.771431656844,12.985871056885438
0.398,4368.567472645676,9.41185754021089
0.398,4489.617899408376,13.551292448424949
0.422,2772.8092869244083,6.389905220868548
0.422,2772.8092869244083,7.69498528562423
0.422,2189.980335323998,10.131904625503852
0.422,2737.532805370319,6.436025799335144
0.422,2737.532805370319,7.802196783969938
0.422,2136.860617463484,10.348461340834222
0.422,3064.3646171035016,6.700175224279926
0.422,3064.3646171035016,6.709482567266732
0.422,2478.4236467863543,11.733747199851758
0.422,2924.627387483211,6.876319250736236
0.422,2924.627387483211,6.881771786129751
0.422,2367.0604715622235,12.026249183849512
0.422,8838.266008440114,5.74482911474114
0.422,8838.266008440114,5.07693609705548
0.422,7371.245644312059,10.25274179490544
0.422,2815.13003957284,6.236100152424133
0.422,2815.13003957284,6.277599257393858
0.422,2234.22948445916,9.522955019512436
0.422,1821.919769237352,10.231538287809943
0.422,1656.304876721362,10.2687410672865
0.422,1537.5287859737389,11.251875339043233
0.422,1459.3375665805745,9.788815732056646
0.422,1392.9374830172765,10.505032530769986
0.422,1303.79840509653,10.880966182431678
0.422,1243.5418277149106,14.72705128550006
0.422,2778.5603413158588,6.282072399029169
0.422,2778.5603413158588,6.368174248217073
0.422,2178.159672103925,9.738206524700168
0.422,1750.911581596687,10.548264770942591
0.422,1567.9803425363048,10.679973240883289
0.422,1432.300957009397,11.80901465856004
0.422,1337.858270247909,10.37289263644899
0.422,1255.6666120017965,11.251500679749272
0.422,1153.7466188994767,11.774674870840023
0.422,1080.63564661053,15.91771312733692
0.422,2974.965206014177,7.756639788021309
0.422,2974.965206014177,7.22333814661329
0.422,2466.457951031682,9.265795377240332
0.422,2102.428922767433,10.399407938937705
0.422,1888.907536574808,9.615262294139296
0.422,1790.511831368971,10.806023342603178
0.422,1659.1205296802225,11.293015761302891
0.422,1542.198441131727,11.87610004669806
0.422,1476.9760790252262,12.391907869610868
0.422,1444.7336312459174,15.6209436620718
0.422,2839.400162574634,7.960330037765403
