    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    38.62      1.68015e+40        7         0.119763         0.118752    135.53m
   1    17.81      1.56624e+11       37         0.111871          0.10876     85.79m
   2    13.18      4.77919e+14       17         0.108362         0.109781     70.55m
   3     9.90      2.73371e+15        7         0.105431         0.107334     78.91m
   4     7.86      2.41159e+11        7         0.105354         0.108019    102.85m
   5     6.86       1.9927e+12        7           0.1049         0.112105     97.27m
   6     6.16      1.27933e+12        7         0.104948         0.111675    113.28m
   7     6.99      7.65429e+10        7          0.10475         0.113458     83.90m
   8     7.23      8.95522e+14        7          0.10473         0.113643     80.83m
   9     7.13      2.58909e+08        7         0.104608         0.114733     77.50m
  10     7.28      8.06727e+18        7         0.104652         0.110844     71.57m
  11     7.18      3.54965e+07        7           0.1044         0.116613     77.06m
  12     7.24      2.51662e+12        7         0.104512         0.112102     69.57m
  13     7.19      1.95576e+10        7         0.104438         0.112773     67.76m
  14     7.23      6.29066e+07        7         0.104343         0.113624    103.24m
  15     7.30      2.43252e+18        7         0.104313         0.113896     78.50m
  16     7.20       1.1472e+09        7         0.104383         0.113267     62.17m
  17     7.17      6.15519e+10        7         0.104267         0.114306     87.39m
  18     7.30       4.5219e+11        7         0.104309         0.113926     80.23m
  19     7.20       3.8922e+07        7          0.10424         0.114551     81.17m
  20     7.26      6.42635e+10        7         0.104398          0.11313     79.51m
  21     7.18      1.25712e+11        7         0.104295         0.114053     70.30m
  22     7.19      4.44243e+08        7         0.104367         0.113406     60.75m
  23     7.18      2.17245e+11        7         0.104284         0.114156     64.75m
  24     7.23      6.23622e+10        7         0.104307         0.113945     59.88m
  25     7.23      2.97208e+15        7         0.104309         0.113931     57.00m
  26     7.18      4.53339e+14        7         0.104247         0.114491     56.96m
  27     7.21      1.85485e+11        7         0.104215         0.114779     57.24m
  28     7.18      1.25585e+11        7         0.104383         0.113269     56.15m
  29     7.19      6.05445e+07        7         0.104454         0.112624     56.11m
  30     7.23      1.20528e+08        7         0.104318         0.113852     57.74m
  31     7.30      3.28513e+15        7         0.104284         0.114152     56.66m
  32     7.23      9.55947e+13        7          0.10434         0.113651     55.64m
  33     7.23      1.22099e+11        7         0.104307         0.113952     54.99m
  34     7.25       6.3235e+08        7         0.104165         0.115224     54.70m
  35     7.20      2.67471e+11        7         0.104374         0.113344     86.31m
  36     7.25       1.6645e+08        7         0.104416         0.112963     75.62m
  37     7.15      1.20622e+08        7         0.104424         0.112897     72.67m
  38     7.27      3.55251e+10        7         0.104293         0.114076     95.76m
  39     7.13      1.86506e+15        7         0.104308         0.113941     80.37m
  40     7.27      5.23387e+10        7         0.104384         0.113256     77.49m
